"Date","Strategy","Strategy ID","Broker","Exchange","Instrument","Underlying","Quantity","Price","Amount"
"15/Jun/2022(03:15)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_CE_15800","NIFTY 50","50","INR 70.15","INR 3507.5"
"15/Jun/2022(03:15)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_PE_15700","NIFTY 50","50","INR 109.5","INR 5475"
"15/Jun/2022(02:25)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_PE_15700","NIFTY 50","-50","INR 88.75","INR -4437.5"
"15/Jun/2022(02:25)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_PE_15750","NIFTY 50","50","INR 111.4","INR 5570"
"15/Jun/2022(02:10)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_PE_15750","NIFTY 50","-50","INR 96.6","INR -4830"
"15/Jun/2022(02:10)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_PE_15700","NIFTY 50","50","INR 76.1","INR 3805"
"15/Jun/2022(12:45)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_CE_15800","NIFTY 50","-50","INR 93","INR -4650"
"15/Jun/2022(12:45)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_CE_15750","NIFTY 50","50","INR 120.2","INR 6010"
"15/Jun/2022(11:05)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_CE_15750","NIFTY 50","-50","INR 92.05","INR -4602.5"
"15/Jun/2022(11:05)","KK_Donchian_Channel_NIFTY","5826970","Kotak Securities","NFO","OPTIDX_NIFTY_16JUN2022_CE_15800","NIFTY 50","50","INR 70.4","INR 3520"
